year,m1_money_stock_pounds,gdp_million_pounds,gdp_billion_pounds,Y_nominal_pounds,z,z_percent,bank_rate,bank_rate_percent,bank_rate_eoy,i,log_i,log_z
2009,57516000000,1548802,1548.802,1548802000000,0.03713579915315192,3.713579915315192,0.00643835616438356,0.643835616438356,0.005,0.00643835616438356,-5.04548202542642,-3.293173837878298
2010,59641000000,1608553,1608.553,1608553000000,0.03707742300067203,3.707742300067203,0.005,0.5,0.005,0.005,-5.29831736654804,-3.294747039063359
2011,63066000000,1662590,1662.59,1662590000000,0.03793238260785882,3.793238260785882,0.005,0.5,0.005,0.005,-5.29831736654804,-3.2719501093338184
2012,65616000000,1713715,1713.715,1713715000000,0.038288746962009436,3.8288746962009435,0.005,0.5,0.005,0.005,-5.29831736654804,-3.262599238969398
2013,68574000000,1781361,1781.361,1781361000000,0.03849528534642894,3.849528534642894,0.005,0.5,0.005,0.005,-5.29831736654804,-3.2572195037213705
2014,72362000000,1862514,1862.514,1862514000000,0.03885178849662338,3.885178849662338,0.005,0.5,0.005,0.005,-5.29831736654804,-3.248001167278981
2015,75838000000,1916451,1916.451,1916451000000,0.03957210489597699,3.957210489597699,0.005,0.5,0.005,0.005,-5.29831736654804,-3.2296308307620896
2016,82756000000,1991645,1991.645,1991645000000,0.0415515817326883,4.1551581732688305,0.00397540983606557,0.397540983606557,0.0025,0.00397540983606557,-5.52762743277791,-3.180819690229844
2017,83736000000,2082482,2082.482,2082482000000,0.04020971129642417,4.020971129642417,0.00291095890410959,0.291095890410959,0.005,0.00291095890410959,-5.83927273176606,-3.213646737993677
2018,83865000000,2152304,2152.304,2152304000000,0.03896522052646838,3.8965220526468376,0.00604109589041096,0.604109589041096,0.0075,0.00604109589041096,-5.10916984468368,-3.2450858120986665
2019,84266000000,2233921,2233.921,2233921000000,0.037721119054792,3.7721119054792003,0.0075,0.75,0.0075,0.0075,-4.89285225843987,-3.277535154244648
2020,91895000000,2103486,2103.486,2103486000000,0.04368700338390653,4.368700338390653,0.00227595628415301,0.227595628415301,0.001,0.00227595628415301,-6.08535497021666,-3.1307046265169465
2021,96420000000,2285400,2285.4,2285400000000,0.0421895510632712,4.21895510632712,0.0010657534246575299,0.106575342465753,0.0025,0.00106575342465753,-6.84407328894618,-3.165582693735137
2022,95336000000,2526428,2526.428,2526428000000,0.037735490581959984,3.7735490581959983,0.014657534246575298,1.46575342465753,0.035,0.0146575342465753,-4.22280079267458,-3.2771542326153584
2023,95741000000,2711185,2711.185,2711185000000,0.03531334084542368,3.531334084542368,0.0467945205479452,4.67945205479452,0.0525,0.0467945205479452,-3.06198916522207,-3.3434944588071467
2024,98756000000,2850989,2850.989,2850989000000,0.03463920765741292,3.463920765741292,0.0510792349726776,5.10792349726776,0.0475,0.0510792349726776,-2.97437722497229,-3.362769069180775
